episode_num,timestep,episode_reward,episode_length,cumulative_reward,moving_avg_10,moving_avg_100,conditions_read,navigation_started,zones_reached,correct_zones,treatments_applied,episode_phases,final_distances,best_distances,loss,q_value_mean,exploration_rate,target_updates,loss_variance_window
153,3520,-12.499999999999993,25,-1520.79,-11.513999999999996,-10.187699999999996,True,False,False,False,False,NAVIGATE,2,2,,,0.9746560000000001,0.0,
154,3544,-11.599999999999993,25,-1532.3899999999999,-11.593999999999998,-10.199699999999996,True,True,False,False,False,NAVIGATE,2,1,,,0.9744832000000001,0.0,
155,3568,-14.999999999999993,25,-1547.3899999999999,-11.593999999999994,-10.285299999999996,False,False,False,False,False,ANALYZE,2,2,,,0.9743104000000001,0.0,
156,3592,-14.999999999999993,25,-1562.3899999999999,-11.593999999999998,-10.405699999999994,False,False,False,False,False,ANALYZE,2,2,,,,,
157,3608,10.22,14,-1552.1699999999998,-9.466999999999995,-10.153499999999994,True,True,True,True,True,TREAT,0,0,,,0.9740224,0.0,
158,3632,-10.349999999999994,25,-1562.5199999999998,-9.561999999999994,-10.106999999999996,True,True,False,False,False,NAVIGATE,1,1,,,0.9738496,0.0,
159,3656,-10.899999999999997,25,-1573.4199999999998,-9.571999999999994,-10.090999999999996,True,True,False,False,False,NAVIGATE,1,1,,,0.9736768,0.0,
160,3684,-12.499999999999995,25,-1585.9199999999998,-10.512999999999995,-10.103999999999996,True,False,False,False,False,NAVIGATE,2,2,,,0.9734752000000001,0.0,
161,3708,-10.399999999999997,25,-1596.32,-10.052999999999995,-10.167999999999996,True,True,False,False,False,NAVIGATE,3,2,,,0.9733024000000001,0.0,
162,3732,-11.599999999999996,25,-1607.9199999999998,-9.962999999999996,-10.247999999999996,True,True,False,False,False,NAVIGATE,3,2,,,0.9731295999999999,0.0,
163,3756,-10.399999999999995,25,-1618.32,-9.752999999999997,-10.268999999999997,True,True,False,False,False,NAVIGATE,2,1,,,0.9729568,0.0,
164,3784,-12.499999999999993,25,-1630.82,-9.842999999999995,-10.289999999999996,True,False,False,False,False,NAVIGATE,2,2,,,0.9727551999999999,0.0,
165,3796,-1.2999999999999994,15,-1632.12,-8.472999999999997,-10.194999999999997,True,True,True,True,False,TREAT,0,0,,,0.9726688,0.0,
166,3824,-14.999999999999993,25,-1647.12,-8.472999999999995,-10.228999999999996,False,False,False,False,False,ANALYZE,1,1,,,0.9724672000000001,0.0,
167,3848,-9.799999999999995,25,-1656.9199999999998,-10.474999999999996,-10.176999999999996,True,True,False,False,False,NAVIGATE,1,1,,,0.9722944000000001,0.0,
168,3872,-14.999999999999993,25,-1671.9199999999998,-10.939999999999994,-10.176999999999996,False,False,False,False,False,ANALYZE,1,1,,,0.9721216000000001,0.0,
169,3896,-14.999999999999993,25,-1686.9199999999998,-11.349999999999998,-10.222499999999997,False,False,False,False,False,ANALYZE,2,2,,,0.9719488,0.0,
170,3916,-6.599999999999998,20,-1693.5199999999998,-10.759999999999994,-10.254399999999997,True,True,True,False,False,TREAT,4,2,,,0.9718048,0.0,
171,3944,-14.999999999999993,25,-1708.5199999999998,-11.219999999999995,-10.254399999999997,False,False,False,False,False,ANALYZE,2,2,,,0.9716032,0.0,
172,3968,-8.599999999999998,25,-1717.1199999999997,-10.919999999999996,-10.225899999999998,True,True,True,False,False,TREAT,4,2,,,0.9714304,0.0,
173,3992,-11.599999999999996,25,-1728.7199999999996,-11.039999999999996,-10.227399999999996,True,True,False,False,False,NAVIGATE,2,1,,,0.9712576,0.0,
174,4016,-14.999999999999993,25,-1743.7199999999996,-11.289999999999996,-10.307399999999996,False,False,False,False,False,ANALYZE,2,2,,,0.9710848000000001,0.0,
